policy_id,policy_name,source_org,zip_codes,support_type,benefit_amount_manwon,benefit_period_months,benefit_desc,target_age_min,target_age_max,target_employment,target_education,target_income,target_marriage,target_no_house,extra_conditions,duplicate_limit,duplicate_with,apply_url,data_source,last_updated
P021,전세보증금반환보증 보증료 지원,국토교통부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",보증료,40,0,최대 40만원 보증료 지원 (생애 1회),19,39,전체,전체,청년 5천만원 / 신혼 7.5천 / 일반 6천만원 이하,전체,필수,"전세보증금 3억원 이하, HUG/HF/SGI 보증 가입",none,,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/161300000103,보조금24,2026-05-09
P023,동대문구 저소득층 주거급여 지원,서울특별시 동대문구,11230,월세지원,35,12,동대문구 저소득 주거급여,19,99,전체,전체,중위 48% 이하,전체,임차가구만,동대문구 거주자만,strict,P005,https://www.gov.kr/portal/rcvfvrSvc/dtlEx,보조금24,2026-05-09
P024,마포구 주거안정자금 융자(입주보증금 지원),서울특별시 마포구,11440,이자지원,0,0,입주보증금 융자 이자 지원,19,99,전체,전체,소득기준 충족,전체,필수,마포구 거주자만,none,,https://www.gov.kr/portal/rcvfvrSvc/dtlEx,보조금24,2026-05-09
P025,영등포구 청년 중개보수 감면 사업,서울특별시 영등포구,11560,감면,40,0,부동산 중개보수 및 이사비 감면,19,39,전체,전체,중위 150% 이하,전체,필수,영등포구 거주자만,same_type,P026,https://www.gov.kr/portal/rcvfvrSvc/dtlEx,보조금24,2026-05-09
P029,장기전세 주택공급,국토교통부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",공공임대,0,0,"20년 장기전세, 시세 80% 이하 (※ 자치구별 모집공고는 SH 인터넷청약시스템에서 확인 필요)",19,99,전체,전체,도시근로자 월평균 소득 기준 이하,전체,필수,"청약통장 가입자, 자치구별 모집공고 확인 필요",strict,"P011,P024,P030,P039,P040",https://www.i-sh.co.kr,보조금24,2026-05-09
P030,행복주택 공급,국토교통부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",공공임대,0,0,"주변 시세 60~80% 임대료, 청년·신혼·대학생 대상 (※ 자치구별 모집공고는 LH/SH에서 확인 필요)",19,39,전체,전체,도시근로자 월평균 소득 기준 이하,전체,필수,"청약 신청, 자치구별 단지 위치 및 모집공고 확인 필요",strict,"P011,P013,P024,P029,P039,P040",https://apply.lh.or.kr,보조금24,2026-05-09
P036,버팀목대출보증,금융위원회,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",보증,0,0,버팀목 전세자금 대출 보증 (주택금융신용보증기금),19,99,전체,전체,기준 소득 이하,전체,필수,P004 버팀목 대출 시 보증,none,,https://www.bokjiro.go.kr,사회보장정보원,2026-05-09
P038,주거안정 월세대출 보증,금융위원회,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",보증,0,0,주거안정 월세대출 보증 지원,19,35,취업자,전체,저소득 계층,전체,전체,P006 주거안정 월세대출 시 보증,none,,https://www.bokjiro.go.kr,사회보장정보원,2026-05-09
P039,국민임대주택공급,국토교통부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",공공임대,0,0,주변 시세 60~80% 국민임대주택 (※ 자치구별 모집공고는 LH 청약플러스에서 확인 필요),19,99,전체,전체,소득 1~4분위 계층,전체,필수,"청약 신청, 자치구별 모집공고 확인 필요",strict,"P011,P024,P029,P030,P040",https://apply.lh.or.kr,사회보장정보원,2026-05-09
P040,기존주택 전세임대주택,국토교통부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",공공임대,0,0,도심 내 임차료 저렴한 임대주택 (※ 자치구별 모집공고는 LH 청약플러스에서 확인 필요),19,99,전체,전체,저소득층,전체,필수,"청약 신청, 자치구별 모집공고 확인 필요",strict,"P011,P024,P029,P030,P039",https://apply.lh.or.kr,사회보장정보원,2026-05-09
